latitude,longitude,censo_2022_estabelecimento_outras_finalidades_poi_counts,censo_2022_domicilio_particular_poi_counts,censo_2022_estabelecimento_construcao_poi_counts,censo_2022_estabelecimento_religioso_poi_counts,censo_2022_estabelecimento_ensino_poi_counts,censo_2022_estabelecimento_saude_poi_counts,censo_2022_domicilio_coletivo_poi_counts,censo_2022_estabelecimento_agro_poi_counts
-20.339369,-50.610836,0,0,0,0,0,0,0,0
-20.266645,-50.52303,35,311,11,3,1,0,1,0
-20.264372,-50.513775,7,16,3,0,0,0,0,7
-20.245882,-50.52887,0,7,0,0,0,0,0,6
-20.274908,-50.52508,27,1034,24,2,1,1,0,0
-20.27585,-50.558983,83,777,24,0,5,1,0,1
-20.364134,-50.488388,0,0,0,0,0,0,0,0
-20.273043,-50.53443,183,1817,27,8,3,1,0,0
-20.393215,-50.591637,0,3,0,0,0,0,0,2
-20.343254,-50.498676,0,5,0,0,0,0,0,2
-20.346096,-50.514297,0,4,0,0,0,0,0,2
-20.290142,-50.512352,0,12,0,0,0,0,0,10
-20.273851,-50.562798,50,1025,29,1,3,0,0,1
-20.339714,-50.56527,0,6,0,0,0,0,0,5
-20.383982,-50.511936,0,3,0,0,0,0,0,3
-20.243214,-50.55636,55,1166,78,1,2,1,0,0
-20.299608,-50.542866,22,51,6,0,0,0,0,2
-20.14918,-50.59329,0,1,0,0,0,0,0,3
-20.306074,-50.486233,0,2,0,0,0,0,0,0
-20.320715,-50.47077,0,4,0,0,0,0,0,2
-20.30729,-50.480457,0,9,0,0,0,0,0,2
-20.17856,-50.520844,0,1,0,0,0,0,0,1
-20.304888,-50.523808,4,14,0,0,0,0,0,8
-20.27412,-50.559505,104,1107,32,1,5,1,0,0
-20.273685,-50.52538,34,1237,21,3,1,1,0,0
-20.244661,-50.555965,61,1329,51,1,2,1,0,0
-20.314695,-50.531185,0,10,0,0,0,0,0,5
-20.24415,-50.4819,0,3,0,0,0,0,0,1
-20.23712,-50.51275,0,10,0,0,0,0,0,9
-20.262453,-50.539223,156,337,20,1,2,2,1,0
-20.271578,-50.499588,1,12,2,0,0,0,0,8
-20.3278,-50.509434,0,1,0,0,0,0,0,0
-20.248379,-50.465347,0,2,0,0,0,0,0,1
-20.267492,-50.534412,215,1244,17,5,6,2,0,0
-20.239944,-50.50132,0,3,0,0,0,0,0,2
-20.289274,-50.548645,47,727,7,1,1,1,0,3
-20.260378,-50.56266,8,9,2,0,1,0,0,2
-20.271276,-50.542976,605,1411,32,2,6,25,7,0
-20.258698,-50.54783,236,852,31,2,4,1,0,0
-20.355959,-50.51293,0,2,0,0,0,0,0,2
-20.244226,-50.550617,15,804,32,0,0,0,0,0
-20.253038,-50.551525,96,979,35,3,3,1,0,1
-20.382256,-50.586353,0,3,0,0,0,0,0,1
-20.276129,-50.543533,275,1515,22,8,7,16,3,0
-20.25314,-50.464787,0,4,0,0,0,0,0,3
-20.224964,-50.600986,1,17,0,2,1,0,0,11
-20.263632,-50.536453,159,366,17,1,4,2,1,0
-20.173927,-50.602943,0,18,0,0,0,0,0,12
-20.301632,-50.562782,0,10,0,0,0,0,0,5
-20.147202,-50.595165,0,0,0,0,0,0,0,1
-20.372646,-50.51699,0,1,0,0,0,0,0,1
-20.273434,-50.54291,404,1535,29,3,7,23,5,0
-20.29349,-50.548363,20,545,33,2,0,0,0,3
-20.301023,-50.48612,0,0,0,0,0,0,0,0
-20.194252,-50.5997,0,11,0,0,0,0,0,9
-20.326797,-50.596043,0,9,0,0,0,0,0,8
-20.261465,-50.541954,208,603,24,1,0,2,0,0
-20.24423,-50.53868,1,10,0,0,0,0,0,8
-20.249664,-50.594044,4,9,0,0,0,0,0,8
-20.267294,-50.557056,51,995,29,1,0,4,0,0
-20.241219,-50.55069,3,376,27,0,0,0,0,1
-20.258131,-50.533077,45,205,36,0,0,0,0,0
-20.366528,-50.575375,0,3,0,0,0,0,0,2
-20.373478,-50.578896,0,3,0,0,0,0,0,1
-20.285788,-50.474724,0,2,0,0,0,0,0,1
-20.29515,-50.515907,0,5,0,0,0,0,0,3
-20.23402,-50.546505,0,7,0,0,0,0,0,4
-20.212128,-50.565372,0,0,0,0,0,0,0,0
-20.180466,-50.521774,0,1,0,0,0,0,0,1
-20.269756,-50.537945,214,1640,27,6,7,2,0,0
-20.374924,-50.512222,0,0,0,0,0,0,0,0
-20.2439,-50.550625,11,760,32,0,0,0,0,0
-20.284336,-50.483234,0,5,0,0,0,0,0,3
-20.250711,-50.542168,3,355,35,0,0,0,0,2
-20.209206,-50.526848,0,5,0,0,0,0,0,2
-20.279165,-50.576447,0,26,1,0,0,0,0,3
-20.317654,-50.530006,0,6,0,0,0,0,0,4
-20.270355,-50.526073,71,1411,19,8,2,1,1,0
-20.266876,-50.523556,39,387,12,3,1,0,1,0
-20.262085,-50.483017,0,7,0,0,0,0,0,2
-20.250828,-50.545513,8,591,71,0,0,0,0,0
-20.255049,-50.53223,2,100,16,0,0,0,0,0
-20.333572,-50.586136,0,1,0,0,0,0,0,3
-20.27414,-50.46482,0,5,0,0,0,0,0,1
-20.246195,-50.552025,24,1024,37,2,0,0,0,1
-20.371918,-50.523766,0,3,0,0,0,0,0,1
-20.304739,-50.48072,0,9,0,0,0,0,0,2
-20.30675,-50.511963,1,18,1,0,0,0,0,8
-20.252483,-50.553272,78,903,16,3,3,2,0,2
-20.188396,-50.555294,0,6,0,0,0,0,0,0
-20.254726,-50.53435,2,118,11,0,0,0,0,0
-20.281216,-50.538933,53,606,24,6,0,0,0,0
-20.268196,-50.542904,624,1138,32,3,6,22,4,0
-20.30742,-50.628532,0,5,0,0,0,0,0,8
-20.34525,-50.592487,0,6,0,0,0,0,0,3
-20.324707,-50.48888,0,1,0,0,0,0,0,1
-20.279112,-50.550716,188,1593,18,7,3,3,0,1
-20.236414,-50.578033,0,11,0,0,0,0,0,9
-20.162554,-50.59079,0,0,0,0,0,0,0,0
-20.18238,-50.531853,0,4,0,0,0,0,0,3
-20.2966,-50.546936,17,222,35,1,0,0,0,3
-20.328005,-50.57561,0,7,0,0,0,0,0,7
-20.29186,-50.53258,1,42,1,0,0,0,0,5
-20.2921,-50.538265,33,354,20,1,0,0,2,3
-20.228308,-50.556683,0,9,1,0,0,0,0,3
-20.279587,-50.57729,0,19,0,0,0,0,0,3
-20.303402,-50.533325,0,20,0,0,0,0,0,11
-20.312227,-50.634712,1,16,0,0,0,0,0,14
-20.300528,-50.546215,19,17,4,1,0,0,0,1
-20.308435,-50.593437,0,15,1,0,0,0,0,14
-20.351202,-50.523746,1,11,0,1,0,0,0,7
-20.27309,-50.600296,0,1,0,0,0,0,0,1
-20.372686,-50.517952,0,3,0,0,0,0,0,1
-20.252554,-50.55337,77,893,16,3,3,2,0,2
-20.241863,-50.517265,0,14,0,0,0,0,0,11
-20.276749,-50.5747,0,30,1,0,0,0,0,2
-20.32917,-50.579803,0,11,0,0,0,0,0,6
-20.279175,-50.5493,203,1734,18,8,2,3,1,1
-20.342825,-50.510376,0,4,0,0,0,0,0,2
-20.300694,-50.5021,0,4,0,0,0,0,0,4
-20.272867,-50.47707,0,5,0,0,0,0,0,4
-20.318905,-50.636566,0,1,0,0,0,0,0,1
-20.348991,-50.51074,0,2,0,0,0,0,0,2
-20.334991,-50.51006,0,4,0,0,0,0,0,3
-20.282185,-50.5822,0,11,0,0,0,0,0,6
-20.328085,-50.58277,0,8,0,0,0,0,0,3
-20.257421,-50.560387,15,30,2,0,1,1,0,9
-20.273388,-50.564,46,981,26,1,3,0,0,4
-20.252962,-50.491238,0,7,0,0,0,0,0,7
-20.245157,-50.551342,20,957,37,2,0,0,0,0
-20.327127,-50.496544,0,5,0,0,0,0,0,4
-20.28516,-50.546906,136,1131,24,3,3,2,0,1
-20.171276,-50.559982,0,3,0,0,0,0,0,2
-20.332428,-50.58575,0,1,0,0,0,0,0,3
-20.371233,-50.565857,0,0,0,0,0,0,0,0
-20.251087,-50.54599,9,677,73,0,0,0,0,0
-20.267973,-50.52318,33,468,13,3,1,0,1,0
-20.262865,-50.5032,1,8,0,0,0,0,0,5
-20.301817,-50.557926,1,9,0,0,0,0,0,5
-20.38759,-50.51183,0,3,0,0,0,0,0,3
-20.263916,-50.54051,185,464,17,1,4,3,1,0
-20.302456,-50.5426,19,38,4,0,0,0,0,1
-20.273586,-50.460518,0,4,0,0,0,0,0,4
-20.251463,-50.553406,60,979,12,2,1,2,0,2
-20.287153,-50.553986,38,801,31,1,2,1,1,0
-20.281294,-50.54781,177,1668,20,8,3,3,0,1
-20.278496,-50.552223,141,1360,16,4,4,3,0,0
-20.233564,-50.513103,0,5,0,0,0,0,0,5
-20.278149,-50.60658,0,4,0,0,0,0,0,4
-20.272232,-50.49106,2,22,0,0,0,0,0,5
-20.345247,-50.61612,0,3,0,0,0,0,0,3
-20.233334,-50.598248,1,12,0,0,0,0,0,9
-20.268354,-50.467472,0,3,0,0,0,0,0,2
-20.344687,-50.54437,0,2,0,0,0,0,0,1
-20.28672,-50.587917,0,8,0,0,0,0,0,5
-20.269049,-50.555508,198,1383,42,3,0,43,1,0
-20.358639,-50.51041,0,0,0,0,0,0,0,0
-20.3725,-50.527946,0,3,0,0,0,0,0,1
-20.321266,-50.646286,0,8,0,1,1,0,0,2
-20.206676,-50.578392,0,8,0,0,0,0,0,4
-20.269007,-50.537056,183,1549,21,6,6,2,0,0
-20.347464,-50.618008,0,3,0,0,0,0,0,3
-20.185987,-50.573463,0,8,0,0,0,0,0,5
-20.251171,-50.54925,29,1134,54,1,0,1,0,1
-20.285257,-50.557953,21,585,21,1,1,0,1,1
-20.229992,-50.552402,0,9,1,0,0,0,0,3
-20.253693,-50.55128,106,972,40,2,4,1,0,1
-20.272163,-50.502087,0,16,1,0,0,0,0,10
-20.241646,-50.53883,0,10,0,0,0,0,0,6
-20.251154,-50.532337,2,2,0,0,0,0,0,1
-20.27616,-50.56929,5,87,2,0,0,0,0,6
-20.27189,-50.542454,484,1494,25,4,7,24,6,0
